tag_unificado,cantidad,tags_agrupados
modelo argentina,1,modelo argentina (1)
monoxido de carbono,1,monóxido de carbono (1)
monserrat,1,monserrat (1)
motos,1,motos (1)
moza,1,moza (1)
muertes,1,muertes (1)
mujer policia,1,mujer policia (1)
nahir galarza,1,Nahir Galarza (1)
narco,1,narco (1)
narcomenudeo,1,narcomenudeo (1)
natalia melmann,1,Natalia Melmann (1)
nena apunalada,1,nena apuñalada (1)
nena asesinada,1,Nena asesinada (1)
nena baleada,1,nena baleada (1)
ninos,1,niños (1)
nochebuena,1,nochebuena (1)
nueva pompeya,1,nueva pompeya (1)
odontologo,1,odontólogo (1)
ola,1,ola (1)
operacion,1,operacion (1)
operativo,1,operativo (1)
organizacion,1,organizacion (1)
pablo cuchan,1,Pablo Cuchán (1)
padrastro,1,padrastro (1)
padre e hijo,1,padre e hijo (1)
palabras,1,Palabras (1)
papas,1,papás (1)
paquete,1,paquete (1)
paralitica,1,paralítica (1)
parricidio,1,Parricidio (1)
pastor evangelico,1,pastor evangélico (1)
patagonia,1,Patagonia (1)
patovicas,1,patovicas (1)
patrulleros,1,patrulleros (1)
personas desaparecidas,1,personas desaparecidas (1)
pesca ilegal,1,pesca ilegal (1)
pintadas,1,pintadas (1)
pirotecnia,1,pirotecnia (1)
placard,1,placard (1)
plomo,1,plomo (1)
policia asesinado,1,Policía asesinado (1)
policia federal argentina pfa,1,Policía Federal Argentina (PFA) (1)
prefectura,1,Prefectura (1)
prendida fuego,1,prendida fuego (1)
presa,1,presa (1)
presas,1,presas (1)
presos,1,presos (1)
preventiva,1,preventiva (1)
prision domiciliaria,1,prision domiciliaria (1)
procesado,1,procesado (1)
procesados,1,procesados (1)
producto,1,producto (1)
productor rural,1,productor rural (1)
profuga,1,prófuga (1)
protestas,1,protestas (1)
psicologa,1,psicóloga (1)
punalada,1,puñalada (1)
recreo,1,recreo (1)
red de trata,1,red de trata (1)
remisero,1,remisero (1)
remisero asesinado,1,remisero asesinado (1)
reto,1,reto (1)
ritual,1,ritual (1)
robado,1,robado (1)
ropa,1,ropa (1)
ruta 2,1,ruta 2 (1)
ruta 38,1,ruta 38 (1)
saladita,1,Saladita (1)
salidas transitorias,1,salidas transitorias (1)
salidera,1,salidera (1)
salud,1,salud (1)
salud mental,1,salud mental (1)
san cayetano,1,san cayetano (1)
secretaria de trabajo,1,Secretaría de Trabajo (1)
senado bonaerense,1,senado bonaerense (1)
servicio penitenciario,1,Servicio Penitenciario (1)
sexo,1,Sexo (1)
sextorsion,1,sextorsión (1)
sicario,1,sicario (1)
sindicato,1,sindicato (1)
socios,1,socios (1)
sumario,1,Sumario (1)
tarjetas de credito,1,tarjetas de credito (1)
taxista,1,taxista (1)
teatro,1,teatro (1)
telas,1,telas (1)
telegram,1,telegram (1)
tenencia,1,tenencia (1)
tenis,1,Tenis (1)
tiktoker,1,tiktoker (1)
tirador,1,tirador (1)
tortuguitas,1,Tortuguitas (1)
transferencia,1,transferencia (1)
transfobia,1,transfobia (1)
trata,1,trata (1)
trata de mujeres,1,trata de mujeres (1)
tribunales,1,Tribunales (1)
trompada,1,trompada (1)
turista,1,turista (1)
vacaciones,1,Vacaciones (1)
velorio,1,velorio (1)
victima,1,víctima (1)
victimas,1,Víctimas (1)
video intimo,1,video intimo (1)
vidrio,1,vidrio (1)
violencia digital,1,Violencia digital (1)
violento,1,violento (1)
vip,1,vip (1)
vuelos,1,Vuelos (1)
yoga,1,Yoga (1)
